"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2025","166.87","166.61","167.59","166.61","18.04K","0.38%"
"04/03/2025","166.24","166.23","166.32","165.91","4.77K","0.56%"
"04/02/2025","165.31","165.75","165.98","165.30","6.85K","-0.25%"
"04/01/2025","165.73","165.30","166.02","165.30","5.83K","0.36%"
"03/31/2025","165.13","165.87","165.87","165.01","4.67K","0.02%"
"03/28/2025","165.10","165.42","165.42","165.00","2.53K","0.26%"
"03/27/2025","164.68","164.77","164.88","164.54","3.93K","0.14%"
"03/26/2025","164.45","164.44","164.62","164.26","3.53K","0.01%"
"03/25/2025","164.44","164.47","164.47","163.95","9.82K","-0.10%"
"03/24/2025","164.60","164.31","164.68","164.31","5.70K","0.07%"
"03/21/2025","164.49","164.28","164.73","164.28","4.15K","0.13%"
"03/20/2025","164.27","164.49","164.67","164.24","4.85K","0.07%"
"03/19/2025","164.15","164.30","164.49","164.01","2.60K","0.18%"
"03/18/2025","163.86","163.92","163.97","163.56","12.98K","-0.14%"
"03/17/2025","164.09","163.33","164.15","163.23","4.82K","0.55%"
"03/14/2025","163.19","163.30","163.30","162.65","7.29K","-0.11%"
"03/13/2025","163.37","163.15","163.45","162.78","2.32K","0.18%"
"03/12/2025","163.07","162.80","163.24","162.63","12.06K","0.17%"
"03/11/2025","162.80","163.36","163.36","162.79","5.16K","-0.35%"
"03/10/2025","163.37","163.29","164.00","163.29","17.14K","0.04%"
"03/07/2025","163.31","163.09","163.98","163.02","5.09K","0.31%"
"03/06/2025","162.80","162.83","163.40","162.45","11.25K","-0.64%"
"03/05/2025","163.85","165.68","165.77","163.72","11.89K","-2.00%"
"03/04/2025","167.19","167.88","168.00","167.10","6.43K","-0.02%"
"03/03/2025","167.22","167.98","168.07","166.93","7.09K","-0.60%"
"02/28/2025","168.23","168.47","168.47","168.07","3.22K","0.12%"
"02/27/2025","168.03","168.02","168.02","167.55","3.67K","0.16%"
"02/26/2025","167.76","167.53","167.93","167.41","7.13K","0.17%"
"02/25/2025","167.48","167.39","167.48","167.00","4.36K","0.26%"
"02/24/2025","167.05","167.03","167.24","166.82","10.53K","0.00%"
"02/21/2025","167.05","166.61","167.26","166.55","3.76K","0.41%"
"02/20/2025","166.37","166.13","166.37","166.05","4.77K","0.15%"
"02/19/2025","166.12","166.87","166.87","166.07","4.72K","-0.53%"
"02/18/2025","167.00","166.59","167.02","166.59","4.16K","-0.01%"
"02/17/2025","167.01","166.88","167.08","166.67","3.97K","-0.32%"
"02/14/2025","167.55","167.68","167.70","167.31","18.01K","-0.08%"
"02/13/2025","167.69","167.02","167.73","166.93","13.70K","0.53%"
"02/12/2025","166.81","167.13","168.47","166.66","6.88K","-0.26%"
"02/11/2025","167.24","167.94","167.94","167.12","7.52K","-0.53%"
"02/10/2025","168.13","168.15","168.28","167.87","13.26K","0.15%"
"02/07/2025","167.87","168.35","168.49","167.63","5.85K","-0.15%"
"02/06/2025","168.13","168.06","168.26","167.67","11.00K","-0.02%"
"02/05/2025","168.16","168.00","168.35","167.83","11.73K","0.28%"
"02/04/2025","167.69","167.38","167.73","167.25","3.62K","-0.04%"
"02/03/2025","167.75","167.08","168.00","166.90","8.42K","0.64%"
"01/31/2025","166.69","166.20","166.90","166.05","7.79K","0.37%"
"01/30/2025","166.08","165.79","166.24","165.69","8.43K","0.45%"
"01/29/2025","165.33","165.88","165.95","165.33","5.26K","-0.07%"
"01/28/2025","165.44","165.65","165.75","165.43","4.72K","-0.19%"
"01/27/2025","165.75","165.96","166.11","165.55","6.23K","0.24%"
"01/24/2025","165.35","165.65","165.74","165.07","4.56K","-0.19%"
"01/23/2025","165.66","165.88","165.99","165.36","8.31K","-0.16%"
"01/22/2025","165.93","166.03","166.31","165.87","3.76K","-0.05%"
"01/21/2025","166.01","165.70","166.01","165.49","4.43K","0.21%"
"01/20/2025","165.67","165.63","165.70","165.18","4.37K","0.10%"
"01/17/2025","165.50","165.49","165.85","165.49","10.24K","0.15%"
"01/16/2025","165.26","165.10","165.26","164.65","4.92K","0.10%"
"01/15/2025","165.10","163.98","165.26","163.79","5.34K","0.94%"
"01/14/2025","163.57","164.29","164.29","163.54","4.50K","-0.13%"
"01/13/2025","163.79","163.88","163.94","163.51","6.09K","-0.27%"
"01/10/2025","164.24","164.51","164.56","164.00","5.17K","-0.38%"
"01/09/2025","164.86","165.07","165.07","164.59","5.29K","-0.10%"
"01/08/2025","165.03","165.47","165.62","164.91","9.43K","-0.35%"
"01/07/2025","165.61","165.60","165.99","165.42","4.80K","-0.21%"
"01/06/2025","165.96","165.69","166.10","165.68","3.05K","0.07%"
"01/03/2025","165.84","166.79","166.80","165.88","5.31K","-0.53%"
"01/02/2025","166.73","166.93","167.44","166.73","9.29K","-0.08%"
"12/30/2024","166.87","166.46","166.94","166.38","2.65K","0.31%"
"12/27/2024","166.36","166.93","166.93","166.26","4.09K","-0.38%"
"12/23/2024","166.99","167.69","167.69","166.99","7.24K","-0.38%"
"12/20/2024","167.62","167.85","167.85","167.20","5.85K","0.22%"
"12/19/2024","167.25","167.51","167.65","167.13","5.47K","-0.50%"
"12/18/2024","168.09","168.28","168.28","167.85","43.78K","-0.12%"
"12/17/2024","168.29","168.04","168.46","167.87","3.77K","0.05%"
"12/16/2024","168.20","168.30","168.41","167.96","5.20K","-0.05%"
"12/13/2024","168.29","168.94","168.94","168.25","6.18K","-0.45%"
"12/12/2024","169.05","170.11","170.13","169.05","7.70K","-0.55%"
"12/11/2024","169.99","170.28","170.49","169.93","6.77K","-0.11%"
"12/10/2024","170.18","169.95","170.36","169.80","4.51K","0.02%"
"12/09/2024","170.15","170.46","170.56","170.04","8.44K","0.03%"
"12/06/2024","170.10","170.16","170.42","169.94","7.89K","0.08%"
"12/05/2024","169.97","170.33","170.47","169.83","7.85K","-0.09%"
"12/04/2024","170.12","169.88","170.16","169.53","6.62K","0.03%"
"12/03/2024","170.07","169.57","170.26","169.57","3.88K","0.03%"
"12/02/2024","170.02","169.69","170.32","169.69","10.02K","0.17%"
"11/29/2024","169.73","169.31","169.73","168.91","8.54K","0.33%"
"11/28/2024","169.17","168.75","169.17","168.43","7.70K","0.48%"
"11/27/2024","168.37","168.33","168.37","167.90","19.16K","0.24%"
"11/26/2024","167.96","167.88","168.10","167.71","16.50K","-0.01%"
"11/25/2024","167.97","167.61","168.00","167.15","30.07K","0.31%"
"11/22/2024","167.45","166.21","167.67","166.21","14.26K","0.48%"
"11/21/2024","166.65","167.99","167.99","166.14","11.39K","0.08%"
"11/20/2024","166.51","166.33","166.51","165.99","4.07K","-0.08%"
"11/19/2024","166.64","166.84","167.31","166.35","4.60K","0.20%"
"11/18/2024","166.30","166.40","166.40","165.85","16.03K","-0.16%"
"11/15/2024","166.57","166.62","166.80","166.22","10.44K","0.04%"
"11/14/2024","166.50","165.66","166.50","165.60","19.16K","0.42%"
"11/13/2024","165.81","165.62","166.05","165.46","6.30K","-0.08%"
"11/12/2024","165.95","166.15","166.73","165.95","15.42K","-0.25%"
"11/11/2024","166.36","166.23","166.53","165.93","17.82K","0.34%"
"11/08/2024","165.79","165.50","165.85","165.36","4.40K","0.52%"
"11/07/2024","164.93","164.67","165.27","164.15","69.50K","-0.16%"
"11/06/2024","165.20","166.02","166.04","165.00","6.71K","-0.01%"
"11/05/2024","165.22","165.32","165.57","165.01","5.35K","-0.21%"
"11/04/2024","165.56","165.40","165.65","165.10","18.84K","0.10%"
"11/01/2024","165.40","165.55","165.91","165.26","3.85K","-0.09%"
"10/31/2024","165.55","165.45","165.63","164.96","9.26K","-0.25%"
"10/30/2024","165.96","166.68","167.03","165.68","10.14K","-0.28%"
"10/29/2024","166.42","167.23","167.23","166.42","5.88K","-0.50%"
"10/28/2024","167.25","166.80","167.54","166.54","5.24K","0.13%"
"10/25/2024","167.03","167.59","167.59","166.95","8.00K","-0.30%"
"10/24/2024","167.54","167.34","167.64","167.12","9.98K","0.44%"
"10/23/2024","166.80","166.90","166.90","166.61","6.16K","0.12%"
"10/22/2024","166.60","166.86","167.03","166.38","4.16K","-0.31%"
"10/21/2024","167.11","168.33","168.33","167.00","4.88K","-0.79%"
"10/18/2024","168.44","167.96","168.55","167.81","19.67K","0.19%"
"10/17/2024","168.12","167.99","168.29","167.71","8.61K","-0.02%"
"10/16/2024","168.15","167.95","168.21","167.70","8.71K","0.39%"
"10/15/2024","167.50","167.48","167.56","167.07","4.33K","0.52%"
"10/14/2024","166.63","166.91","166.91","166.47","5.00K","0.01%"
"10/11/2024","166.61","166.92","166.92","166.18","3.19K","-0.16%"
"10/10/2024","166.87","166.62","166.87","166.24","7.75K","0.10%"
"10/09/2024","166.70","167.07","167.07","166.64","3.94K","-0.11%"
"10/08/2024","166.88","166.77","166.88","166.48","15.58K","0.10%"
"10/07/2024","166.72","167.05","167.05","166.63","7.91K","-0.36%"
"10/04/2024","167.33","167.77","167.79","164.50","35.74K","-0.38%"
"10/03/2024","167.96","168.37","168.40","167.76","11.21K","-0.34%"
"10/02/2024","168.54","169.05","169.11","168.25","22.42K","-0.35%"
"10/01/2024","169.14","168.18","169.66","168.18","11.53K","0.67%"
"09/30/2024","168.01","167.95","168.17","167.41","7.73K","0.02%"
"09/27/2024","167.97","168.05","168.38","167.68","3.36K","0.24%"
"09/26/2024","167.56","167.59","168.03","167.33","7.06K","0.22%"
"09/25/2024","167.20","167.97","167.97","167.17","6.15K","-0.43%"
"09/24/2024","167.93","167.41","167.93","167.05","5.43K","0.32%"
"09/23/2024","167.39","166.89","167.49","166.85","6.06K","0.30%"
"09/20/2024","166.89","167.49","167.49","166.78","4.38K","-0.20%"
"09/19/2024","167.22","167.39","167.39","166.76","5.67K","0.08%"
"09/18/2024","167.08","168.11","168.11","166.97","6.09K","-0.39%"
"09/17/2024","167.74","168.47","168.47","167.70","10.10K","-0.19%"
"09/16/2024","168.06","167.99","168.13","167.64","","0.23%"
"09/13/2024","167.67","167.75","168.05","167.57","4.12K","0.05%"
"09/12/2024","167.59","168.33","168.33","167.50","27.02K","-0.23%"
"09/11/2024","167.97","167.88","168.00","167.36","41.21K","0.32%"
"09/10/2024","167.43","167.06","167.43","166.82","4.77K","0.26%"
"09/09/2024","166.99","166.71","166.99","166.19","2.76K","-0.01%"
"09/06/2024","167.00","166.80","167.35","166.62","8.62K","0.19%"
"09/05/2024","166.68","166.73","166.80","166.15","3.36K","0.11%"
"09/04/2024","166.49","166.00","166.53","165.74","3.09K","0.54%"
"09/03/2024","165.59","165.13","165.74","164.73","6.05K","0.35%"
"09/02/2024","165.01","165.27","165.27","164.52","5.52K","-0.18%"
"08/30/2024","165.30","165.95","165.95","165.30","3.79K","-0.07%"
"08/29/2024","165.41","165.15","166.18","165.15","2.44K","-0.15%"
