"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2025","228.31","227.83","229.20","225.88","1.86K","0.80%"
"04/03/2025","226.49","228.78","228.87","225.60","12.79K","-1.02%"
"04/02/2025","228.83","230.75","230.93","228.83","1.19K","-0.85%"
"04/01/2025","230.79","230.80","231.50","230.16","3.07K","0.22%"
"03/31/2025","230.28","229.82","230.30","228.91","1.26K","0.69%"
"03/28/2025","228.71","228.66","229.55","228.66","0.44K","0.31%"
"03/27/2025","228.00","228.36","228.64","227.33","1.40K","-0.09%"
"03/26/2025","228.20","228.19","228.48","227.79","0.43K","0.14%"
"03/25/2025","227.88","228.00","228.00","226.77","1.13K","0.08%"
"03/24/2025","227.69","228.15","228.46","226.55","1.31K","-0.21%"
"03/21/2025","228.17","228.18","228.60","227.94","0.49K","0.27%"
"03/20/2025","227.56","226.23","229.29","226.23","3.67K","1.03%"
"03/19/2025","225.24","224.72","225.48","224.67","1.08K","0.43%"
"03/18/2025","224.27","224.10","225.00","223.59","0.96K","-0.24%"
"03/17/2025","224.81","225.37","225.70","224.62","1.74K","-0.28%"
"03/14/2025","225.44","226.56","226.56","224.50","13.01K","-0.24%"
"03/13/2025","225.98","225.39","226.50","225.15","3.04K","0.54%"
"03/12/2025","224.77","225.37","225.62","224.50","6.85K","-0.12%"
"03/11/2025","225.03","226.50","226.69","224.77","2.30K","-0.98%"
"03/10/2025","227.25","226.72","227.65","226.34","4.04K","0.32%"
"03/07/2025","226.52","226.88","227.22","225.61","2.07K","0.23%"
"03/06/2025","226.01","227.06","227.59","225.73","3.43K","-1.30%"
"03/05/2025","228.99","231.72","231.72","228.14","3.53K","-2.79%"
"03/04/2025","235.56","236.11","236.61","234.98","1.79K","0.06%"
"03/03/2025","235.43","237.27","237.50","234.37","3.20K","-0.64%"
"02/28/2025","236.94","236.82","237.27","236.01","2.50K","0.29%"
"02/27/2025","236.25","234.12","236.25","233.78","5.11K","1.08%"
"02/26/2025","233.72","233.96","234.38","233.29","52.28K","-0.03%"
"02/25/2025","233.78","234.03","234.53","233.60","0.61K","0.30%"
"02/24/2025","233.09","232.97","233.67","232.18","2.15K","-0.19%"
"02/21/2025","233.54","232.61","233.71","232.29","1.25K","0.44%"
"02/20/2025","232.51","233.48","233.48","232.36","1.47K","-0.28%"
"02/19/2025","233.16","231.50","233.07","231.50","0.95K","0.44%"
"02/18/2025","232.13","232.63","233.14","232.00","1.68K","0.05%"
"02/17/2025","232.02","231.99","232.41","231.63","1.12K","0.04%"
"02/14/2025","231.93","231.50","232.80","231.35","5.21K","-0.15%"
"02/13/2025","232.28","232.07","233.95","231.56","3.40K","-0.39%"
"02/12/2025","233.20","234.00","235.49","232.85","4.84K","-0.57%"
"02/11/2025","234.54","235.62","235.71","234.50","4.47K","-0.52%"
"02/10/2025","235.77","235.42","236.20","235.01","5.60K","0.35%"
"02/07/2025","234.94","234.03","235.47","233.78","1.92K","0.12%"
"02/06/2025","234.66","234.66","235.50","234.51","1.99K","0.28%"
"02/05/2025","234.01","233.77","234.22","233.41","1.74K","0.25%"
"02/04/2025","233.43","234.57","234.58","233.00","7.63K","-0.89%"
"02/03/2025","235.52","236.48","237.49","235.12","3.42K","1.31%"
"01/31/2025","232.47","232.13","233.27","232.13","0.51K","0.30%"
"01/30/2025","231.78","232.28","233.06","231.33","1.22K","-0.02%"
"01/29/2025","231.82","232.42","232.83","231.63","1.87K","0.22%"
"01/28/2025","231.32","231.25","231.63","230.71","0.88K","0.77%"
"01/27/2025","229.55","230.75","230.75","229.19","1.97K","0.45%"
"01/24/2025","228.53","229.56","229.99","228.43","2.96K","-0.82%"
"01/23/2025","230.42","230.98","230.98","229.87","1.20K","0.05%"
"01/22/2025","230.31","230.54","230.54","229.62","0.93K","-0.13%"
"01/21/2025","230.61","231.52","232.53","230.67","0.52K","-0.38%"
"01/20/2025","231.50","232.58","232.60","230.49","2.57K","-0.66%"
"01/17/2025","233.04","233.68","233.78","232.64","1.09K","0.00%"
"01/16/2025","233.05","232.72","233.24","232.23","1.07K","0.29%"
"01/15/2025","232.38","230.65","231.82","230.62","31.15K","0.57%"
"01/14/2025","231.06","232.42","232.42","230.68","1.86K","-0.79%"
"01/13/2025","232.91","232.61","233.40","232.00","1.17K","0.25%"
"01/10/2025","232.32","231.47","232.49","230.87","1.59K","0.44%"
"01/09/2025","231.30","231.42","231.92","231.19","2.01K","0.03%"
"01/08/2025","231.24","230.78","231.56","230.19","2.67K","0.81%"
"01/07/2025","229.38","229.10","230.03","228.26","2.44K","0.00%"
"01/06/2025","229.37","230.72","230.72","228.73","8.47K","-1.14%"
"01/03/2025","232.02","232.25","232.74","231.83","0.89K","-0.33%"
"01/02/2025","232.79","231.49","233.13","230.77","3.42K","1.21%"
"12/30/2024","230.01","229.02","230.20","227.99","0.33K","0.53%"
"12/27/2024","228.79","229.79","229.79","228.09","4.04K","-0.15%"
"12/23/2024","229.14","229.99","229.99","228.65","0.89K","0.05%"
"12/20/2024","229.03","230.10","230.10","229.03","0.63K","-0.29%"
"12/19/2024","229.70","230.00","230.00","229.00","1.22K","0.03%"
"12/18/2024","229.62","229.85","229.96","229.20","2.36K","0.31%"
"12/17/2024","228.92","229.39","229.52","228.70","3.58K","0.03%"
"12/16/2024","228.85","230.49","230.49","228.85","3.80K","-0.35%"
"12/13/2024","229.65","231.28","231.28","229.65","0.41K","-0.35%"
"12/12/2024","230.45","230.74","231.49","230.23","1.16K","-0.23%"
"12/11/2024","230.99","231.00","231.49","230.87","1.20K","0.00%"
"12/10/2024","231.00","230.22","231.00","230.15","2.31K","0.74%"
"12/09/2024","229.30","230.28","230.68","229.26","3.89K","-0.27%"
"12/06/2024","229.92","229.55","230.80","229.16","4.06K","0.01%"
"12/05/2024","229.90","231.02","231.12","229.79","4.11K","-0.33%"
"12/04/2024","230.65","230.97","231.25","230.61","0.71K","-0.09%"
"12/03/2024","230.85","230.56","231.42","230.12","0.62K","-0.35%"
"12/02/2024","231.65","230.59","232.02","230.50","2.13K","0.94%"
"11/29/2024","229.50","229.50","230.20","229.36","1.87K","0.12%"
"11/28/2024","229.23","230.26","230.26","229.23","0.38K","-0.01%"
"11/27/2024","229.26","230.02","230.21","229.26","2.66K","-0.80%"
"11/26/2024","231.12","230.56","231.12","229.58","2.24K","0.32%"
"11/25/2024","230.39","231.10","231.10","229.51","1.49K","-0.43%"
"11/22/2024","231.38","229.39","232.74","229.39","2.03K","0.85%"
"11/21/2024","229.42","228.59","229.60","228.34","0.54K","-0.12%"
"11/20/2024","229.69","227.54","229.69","227.50","0.46K","1.00%"
"11/19/2024","227.41","227.41","229.09","227.08","10.35K","0.28%"
"11/18/2024","226.77","227.52","227.62","226.77","1.73K","-0.10%"
"11/15/2024","227.00","226.94","227.45","226.50","6.56K","0.01%"
"11/14/2024","226.97","227.33","228.70","226.97","4.56K","0.02%"
"11/13/2024","226.92","226.28","227.42","226.00","0.86K","0.08%"
"11/12/2024","226.74","227.37","227.79","226.74","3.51K","0.02%"
"11/11/2024","226.70","226.00","227.25","225.92","2.15K","0.58%"
"11/08/2024","225.39","224.89","225.77","224.25","1.90K","0.77%"
"11/07/2024","223.67","223.93","224.36","223.55","1.83K","0.04%"
"11/06/2024","223.58","224.20","225.77","221.71","1.35K","1.50%"
"11/05/2024","220.27","221.23","221.23","220.27","0.84K","-0.37%"
"11/04/2024","221.08","221.82","221.90","221.08","1.22K","-0.38%"
"11/01/2024","221.93","222.16","222.61","221.93","0.38K","-0.24%"
"10/31/2024","222.46","222.46","223.00","222.26","0.24K","-0.34%"
"10/30/2024","223.22","223.51","223.61","222.62","0.63K","0.22%"
"10/29/2024","222.73","222.48","223.06","222.21","0.14K","0.15%"
"10/28/2024","222.39","222.98","222.98","222.25","11.01K","-0.56%"
"10/25/2024","223.65","224.17","224.17","223.17","9.53K","-0.21%"
"10/24/2024","224.13","224.67","224.67","223.84","1.31K","0.06%"
"10/23/2024","224.00","224.16","224.74","224.00","0.68K","-0.11%"
"10/22/2024","224.24","223.66","224.59","223.22","2.04K","0.14%"
"10/21/2024","223.93","224.88","224.88","223.91","1.78K","-0.48%"
"10/18/2024","225.00","224.66","225.00","224.33","1.07K","0.04%"
"10/17/2024","224.91","224.73","225.45","224.66","0.69K","-0.05%"
"10/16/2024","225.02","224.81","225.02","223.96","3.55K","0.32%"
"10/15/2024","224.30","224.25","224.30","223.19","3.86K","1.02%"
"10/14/2024","222.04","223.48","223.49","222.04","1.55K","-0.61%"
"10/11/2024","223.41","223.55","223.55","222.79","1.62K","0.00%"
"10/10/2024","223.42","222.58","223.42","222.58","0.69K","0.38%"
"10/09/2024","222.58","222.51","222.93","222.33","1.31K","0.26%"
"10/08/2024","222.00","222.32","222.34","221.46","0.62K","-0.13%"
"10/07/2024","222.29","222.19","222.55","221.82","3.85K","-0.24%"
"10/04/2024","222.83","222.99","223.07","222.70","0.51K","-0.38%"
"10/03/2024","223.67","223.65","223.65","222.07","0.47K","0.12%"
"10/02/2024","223.40","223.00","223.40","222.60","0.59K","-0.08%"
"10/01/2024","223.57","220.92","223.57","220.92","7.26K","1.21%"
"09/30/2024","220.90","219.80","220.90","219.71","0.55K","0.16%"
"09/27/2024","220.54","221.33","221.33","220.13","1.45K","0.50%"
"09/26/2024","219.44","220.27","221.18","219.44","0.26K","-0.61%"
"09/25/2024","220.79","220.27","220.79","219.78","1.28K","-0.18%"
"09/24/2024","221.19","220.94","221.19","220.68","4.64K","0.06%"
"09/23/2024","221.06","220.80","222.16","220.50","0.39K","0.28%"
"09/20/2024","220.44","221.01","221.20","220.44","0.33K","-0.18%"
"09/19/2024","220.83","221.11","221.11","220.45","0.61K","-0.48%"
"09/18/2024","221.90","221.81","221.90","221.21","0.21K","-0.10%"
"09/17/2024","222.12","222.36","222.36","221.74","0.28K","-0.02%"
"09/16/2024","222.17","221.88","222.17","221.13","","0.01%"
"09/13/2024","222.14","221.99","222.14","221.54","1.08K","0.09%"
"09/12/2024","221.95","222.92","222.92","221.90","0.72K","-0.46%"
"09/11/2024","222.98","222.37","223.19","222.03","7.64K","0.56%"
"09/10/2024","221.74","221.41","221.74","221.10","0.08K","0.30%"
"09/09/2024","221.08","220.52","221.08","220.23","3.66K","0.06%"
"09/06/2024","220.94","219.53","220.94","219.53","0.98K","0.39%"
"09/05/2024","220.08","219.72","220.16","219.28","6.71K","0.14%"
"09/04/2024","219.77","220.10","220.20","219.77","0.20K","-0.05%"
"09/03/2024","219.89","218.91","220.21","218.91","1.43K","0.47%"
"09/02/2024","218.86","219.00","219.09","218.86","0.75K","-0.24%"
"08/30/2024","219.39","219.34","219.94","219.34","0.24K","0.06%"
"08/29/2024","219.25","218.90","219.91","218.90","1.46K","0.12%"
"08/28/2024","218.98","218.70","219.30","218.66","0.73K","0.32%"
"08/27/2024","218.29","218.19","218.29","217.61","4.55K","0.05%"
"08/26/2024","218.19","217.87","218.76","217.87","8.38K","0.30%"
"08/23/2024","217.53","218.07","218.48","217.53","13.09K","-0.14%"
"08/22/2024","217.83","217.90","218.14","217.85","0.23K","-0.01%"
"08/21/2024","217.86","218.23","218.38","217.86","0.64K","-0.21%"
"08/20/2024","218.31","218.14","218.31","217.95","0.25K","0.05%"
