"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2025","256.66","261.18","264.61","256.66","14.68K","-2.13%"
"04/03/2025","262.24","265.31","266.13","256.37","32.30K","-2.32%"
"04/02/2025","268.46","269.02","270.56","267.90","19.79K","-0.56%"
"04/01/2025","269.96","270.38","271.33","269.50","19.03K","0.27%"
"03/31/2025","269.24","268.65","269.97","267.64","18.30K","1.37%"
"03/28/2025","265.59","265.94","266.66","264.30","14.13K","0.72%"
"03/27/2025","263.70","262.99","264.41","262.14","9.85K","1.05%"
"03/26/2025","260.97","262.00","262.00","260.34","4.91K","0.01%"
"03/25/2025","260.95","260.26","262.00","259.95","8.03K","0.33%"
"03/24/2025","260.10","259.98","261.00","259.57","7.55K","0.06%"
"03/21/2025","259.94","260.96","261.43","258.54","7.05K","-0.50%"
"03/20/2025","261.24","260.62","262.00","260.21","5.57K","0.44%"
"03/19/2025","260.09","259.63","260.26","258.71","4.53K","0.51%"
"03/18/2025","258.77","257.33","259.55","256.26","8.60K","1.13%"
"03/17/2025","255.87","256.00","256.66","255.47","17.55K","-0.08%"
"03/14/2025","256.07","256.84","257.96","255.30","11.38K","0.13%"
"03/13/2025","255.75","251.93","255.85","251.93","10.98K","1.89%"
"03/12/2025","251.00","249.33","250.86","248.90","6.29K","0.84%"
"03/11/2025","248.90","248.50","250.00","248.34","6.45K","-0.39%"
"03/10/2025","249.87","250.73","250.80","248.87","11.91K","-0.37%"
"03/07/2025","250.79","251.31","251.80","249.80","7.57K","-0.17%"
"03/06/2025","251.21","251.13","251.44","249.81","7.99K","-0.92%"
"03/05/2025","253.55","255.30","255.46","251.82","7.71K","-1.62%"
"03/04/2025","257.73","257.57","259.10","257.47","5.91K","0.43%"
"03/03/2025","256.63","256.63","257.39","255.58","12.08K","0.48%"
"02/28/2025","255.40","256.35","256.98","253.74","11.47K","-0.84%"
"02/27/2025","257.57","257.39","258.39","256.15","17.36K","-0.30%"
"02/26/2025","258.34","258.95","259.35","257.12","7.73K","0.46%"
"02/25/2025","257.15","261.38","262.18","256.94","11.46K","-1.86%"
"02/24/2025","262.03","261.79","263.33","261.25","12.14K","0.06%"
"02/21/2025","261.88","260.39","261.82","259.75","12.70K","-0.23%"
"02/20/2025","262.49","263.89","264.22","261.07","12.96K","0.10%"
"02/19/2025","262.23","261.83","263.70","261.67","16.49K","0.33%"
"02/18/2025","261.36","259.27","261.41","259.27","8.12K","1.33%"
"02/17/2025","257.92","258.24","258.75","257.75","13.92K","0.37%"
"02/14/2025","256.96","261.21","262.12","256.89","15.55K","-1.42%"
"02/13/2025","260.67","261.11","263.20","260.49","6.77K","0.03%"
"02/12/2025","260.58","259.99","261.18","258.70","7.98K","-0.44%"
"02/11/2025","261.72","263.70","263.88","260.62","12.46K","-0.34%"
"02/10/2025","262.60","261.90","263.32","261.62","15.11K","1.67%"
"02/07/2025","258.28","257.25","260.10","256.91","16.40K","0.80%"
"02/06/2025","256.22","256.70","258.46","255.00","17.63K","-0.18%"
"02/05/2025","256.68","256.89","257.97","256.35","16.53K","0.50%"
"02/04/2025","255.41","254.54","256.26","253.84","17.05K","-0.08%"
"02/03/2025","255.61","254.51","258.88","254.13","22.81K","1.47%"
"01/31/2025","251.90","250.74","253.45","250.74","7.87K","0.70%"
"01/30/2025","250.16","247.95","250.26","247.95","13.89K","1.48%"
"01/29/2025","246.51","247.13","247.91","246.41","10.83K","-0.12%"
"01/28/2025","246.80","244.87","246.80","244.66","10.87K","1.28%"
"01/27/2025","243.69","245.33","246.03","243.30","5.23K","-1.08%"
"01/24/2025","246.34","247.10","248.12","246.22","10.32K","-0.11%"
